Entry,Name,Name(TN),Disease,efficacy1,efficacy2,efficacy3,efficacy4,efficacy5,efficacy6,efficacy7,efficacy8
"D00164
","Retinol palmitate (JP18)
  ","Aquasol A (TN)
  ","
",Supplement (vitamin A),Retinoic acid receptor (RAR) agonist,,,,,,
"D00165
","Hydrocortisone acetate (JP18/USP)
  ","Cortifoam (TN)
U-cort (TN)
  ","Ulcerative proctitis [DS:H01466]
  ",Anti-inflammatory,Glucocorticoid receptor agonist,,,,,,
"D00166
","Cyanocobalamin (JP18/USP/INN)
  ","Cyomin (TN)
Nascobal (TN)
Rubramin PC (TN)
  ","
",Anti-anemic,Hematopoietic,Supplement (vitamin B12),,,,,
"D00167
","Dimercaprol (JP18/USP/INN)
  ","BAL (TN)
  ","
",Antidote,,,,,,,
"D00168
","Cytarabine (JP18/USP/INN)
ARA-C
  ","Depocyt (TN)
  ","Lymphomatous meningitis [DS:H01668]
Acute myeloid leukemia [DS:H00003]
Chronic myelocytic leukemia [DS:H00004]
  ",Antineoplastic,Antimetabolite,DNA polymerase inhibitor,,,,,
"D00169
","Meclofenamate sodium (USP)
Meclofenamate sodium monohydrate
  ","Meclomen (TN)
  ","Rheumatoid arthritis [DS:H00630]
Ankylosing spondylitis [DS:H01674]
  ",Anti-inflammatory,COX inhibitor,,,,,,
"D00170
","Hymecromone (JP18/USAN/INN)
  ","Cantabiline (TN)
  ","
",Choleretic,,,,,,,
"D00171
","Inulin (JAN/USP)
  ","
","
",Diagnostic (renal function determination),,,,,,,
"D00172
","Eptacog alfa (INN)
Eptacog alfa (activated) (genetical recombination) (JAN)
Coagulation Factor VIIa
Coagulation factor VIIa (recombinant)-jncw
  ","Novo- seven (TN)
Sevenfact (TN)
  ","
",Bleeding suppressant,Replenisher (coagulation factor),,,,,,
"D00173
","Evodia fruit (JP18)
  ","Evodia fruit (TN)
  ","
",Analgesic,,,,,,,
"D00174
","gamma-Amino-beta-hydroxybutyric acid (JAN)
  ","
","
",Brain metabolism enhancer,,,,,,,
"D00175
","L-Carbocisteine (JP18)
  ","Mucodyne (TN)
  ","
",Mucolytic,Expectorant,,,,,,
"D00176
","Protirelin (JP18/USAN/INN)
  ","Relefact TRH (TN)
  ","
",Diagnostic (pituitary function determination),Thyrotropin-releasing hormone receptor agonist,,,,,,
"D00177
","Methylmethionine sulfonium chloride (JAN)
L-Methylmethionine sulfonium chloride
  ","Cabagin U (TN)
  ","
",Anti-ulcerative,,,,,,,
"D00178
","Octopamine hydrochloride (JAN)
  ","
","
",Antihypotensive,,,,,,,
"D00179
","Androstenediol (JAN)
  ","Tetrabol (TN)
  ","
",Prohormone,,,,,,,
"D00180
","Alprostadil (JP18/USP/INN)
  ","Prostin VR pediatric (TN)
Caverject (TN)
Edex (TN)
Muse (TN)
  ","Pulmonary atresia [DS:H01802 H01803]
Tricuspid atresia [DS:H01785]
Tetralogy of Fallot [DS:H00549]
  ",Vasodilator,Prostaglandin E1 receptor agonist,,,,,,
"D00181
","Argatroban (USP)
Argatroban hydrate (JP18)
  ","Novastan (TN)
  ","
",Anticoagulant,Thrombin inhibitor,,,,,,
"D00182
","Norethindrone (USP)
Norethisterone (JP18)
  ","Camila (TN)
Micronor (TN)
Primolut-N (TN)
  ","
",Contraceptive,Progesterone receptor agonist,,,,,,
"D00183
","Nalidixic acid (JP18/USP/INN)
  ","NegGram (TN)
  ","
",Antibacterial,Nucleic acid biosynthesis inhibitor,,,,,,
"D00184
","Cyclosporine (USP)
Ciclosporin (JP18)
  ","Gengraf (TN)
Neoral (TN)
Restasis (TN)
Sandimmune (TN)
  ","Keratoconjunctivitis sicca [DS:H01641]
Organ rejection in kidney, liver, and heart allogeneic transplants [DS:H00083]
Rheumatoid arthritis [DS:H00630]
Psoriasis [DS:H01656]
  ",Immunosuppressant,Calcineurin inhibitor,,,,,,
"D00185
","Estriol (JP18/USP)
  ","Estriel (TN)
  ","
",Menstruation disorder agent,Estrogen receptor agonist,,,,,,
"D00186
","Ciprofloxacin (JP18/USP/INN)
  ","Cipro (TN)
Otiprio (TN)
  ","Inhalational anthrax [DS:H00328]
Plague [DS:H00297]
  ",Antibacterial,Nucleic acid biosynthesis inhibitor,,,,,,
"D00187
","Ergocalciferol (JP18/USP)
Vitamin D2
  ","Calciferol (TN)
Drisdol (TN)
  ","
",Antirachitic,Vitamin D receptor agonist,,,,,,
"D00188
","Cholecalciferol (JP18/USP)
Colecalciferol (INN)
Vitamin D3
  ","Delta-D (TN)
  ","
",Antirachitic,Vitamin D receptor agonist,,,,,,
"D00189
","Pregnanediol (JAN)
  ","Diol (TN)
  ","
",Sebum secretion suppressant,,,,,,,
"D00190
","Rutin hydrate (JAN)
Rutin trihydrate
  ","
","
",Vascular protectant,,,,,,,
"D00191
","Vitamin B12
  ","Nascobal (TN)
  ","
",Supplement (vitamin B12),,,,,,,
"D00192
","Phenylethyl alcohol (USP)
  ","
","
",Antibacterial,,,,,,,
"D00193
","Dexpanthenol (USP/INN)
Panthenol (JAN)
  ","Ilopan (TN)
  ","
",Supplement (pantothenic acid),Muscarinic acetylcholine receptor agonist,,,,,,
"D00194
","d-Limonene (JAN)
Limonene
  ","
","
",Pharmaceutic aid (flavor),,,,,,,
"D00195
","Codeine (USP)
Codeine hydrate
  ","
","
",Analgesic (narcotic),Antitussive,Opioid receptor agonist,,,,,
"D00196
","Physostigmine (USP)
  ","Eserine (TN)
  ","
",Acetylcholinesterase inhibitor (ophthalmic),,,,,,,
"D00197
","Reserpine (JP18/USP/INN)
  ","Apoplon (TN)
Serpalan (TN)
  ","
",Antihypertensive,Antipsychotic,Vesicular monoamine transporter inhibitor,,,,,
"D00198
","Rescinnamine (JAN/INN)
  ","Tsuruselpi S (TN)
  ","
",Antihypertensive,,,,,,,
"D00199
","Ajmaline (JP18)
  ","Ajimalin (TN)
  ","
",Antiarrhythmic,Sodium channel blocker,,,,,,
"D00200
","Cianidanol (JAN/INN)
  ","
","
",Liver function improving agent,,,,,,,
"D00201
","Tetracycline (JAN/USP/INN)
  ","Sumycin (TN)
  ","
",Antibacterial,Amebicide,Antirickettsial,Protein biosynthesis inhibitor,,,,
"D00202
","Nystatin (JP18/USP/INN)
(abbr) NYT
  ","Mycostatin (TN)
  ","Candidiasis [DS:H00363]
  ",Antibiotic,Antifungal,,,,,,
"D00203
","Amphotericin B (JP18/USP/INN)
(abbr) AMB
  ","Ambisome (TN)
Amphotec (TN)
Fungizone (TN)
  ","Visceral leishmaniasis [DS:H00359]
Aspergillosis [DS:H01328]
Cryptococcosis [DS:H00364]
North American blastomycosis [DS:H01501]
Systemic candidiasis [DS:H00363]
Coccidioidomycosis [DS:H01319]
Histoplasmosis [DS:H01062]
Zygomycosis [DS:H01503]
Mucormycosis [DS:H02033]
Sporotrichosis [DS:H01499]
  ",Antibiotic,Antifungal,Cell membrane function inhibitor,,,,,
"D00204
","Ampicillin (USP/INN)
Anhydrous ampicillin (JP18)
  ","Omnipen (TN)
  ","
",Antibacterial,Cell wall biosynthesis inhibitor,,,,,,
"D00205
","Oxytetracycline (JAN/USP/INN)
Oxytetracycline dihydrate
  ","Terramycin (TN)
  ","
",Antibacterial,Protein biosynthesis inhibitor,,,,,,
"D00206
","Imipenem (USP)
Imipenem hydrate (JP18)
  ","
","
",Antibacterial,Cell wall biosynthesis inhibitor,,,,,,
"D00208
","Mitomycin (USP/INN)
Mitomycin C (JP18)
MMC
  ","Jelmyto (TN)
Mitomycin (TN)
Muamycin (TN)
  ","Glaucoma [DS:H00612]
Upper tract urothelial cancer [DS:H00022]
Adenocarcinoma of the stomach or pancreas [DS:H00018 H00019]
  ",Antineoplastic,,,,,,,
"D00209
","Griseofulvin (JAN/USP/INN)
  ","Gris-peg (TN)
Grisactin V (TN)
  ","Ringworm infection [DS:H01316]
  ",Antifungal,Mitosis inhibitor,,,,,,
"D00210
","Norfloxacin (JP18/USP/INN)
  ","Noroxin (TN)
  ","
",Antibacterial,Nucleic acid biosynthesis inhibitor,,,,,,
"D00211
","Rifampin (USP)
Rifampicin (JP18/INN)
(abbr) RIF
  ","Rifadin (TN)
Rimactane (TN)
  ","Tuberculosis [DS:H00342]
  ",Antibacterial,RNA polymerase inhibitor,,,,,,
"D00212
","Vancomycin (USP)
  ","Vancocin (TN)
  ","
",Antibacterial,Cell wall biosynthesis inhibitor,,,,,,
"D00213
","Fusidate sodium (USAN)
Sodium fusidate (JP18)
  ","Fucidin leo (TN)
  ","
",Antibacterial,Protein biosynthesis inhibitor,,,,,,
"D00214
","Dactinomycin (USP)
Actinomycin D (JP18)
  ","Cosmegen (TN)
  ","Wilms tumor [DS:H02301]
Rhabdomyosarcoma [DS:H00037]
Ewings sarcoma [DS:H00035]
Testicular cancer [DS:H00023]
Solid malignancies [DS:H02421]
  ",Antineoplastic,,,,,,,
"D00215
","Trolamine (NF)
  ","Mobisy (TN)
  ","
",Pharmaceutic aid (alkalizing),,,,,,,
"D00216
","Acarbose (JAN/USAN/INN)
  ","Precose (TN)
  ","Type 2 diabetes mellitus [DS:H00409]
  ",Antidiabetic,alpha-Glucosidase inhibitor,,,,,,
"D00217
","Acetaminophen (JP18/USP)
Paracetamol (INN)
  ","Tylenol (TN)
  ","
",Analgesic,Antipyretic,,,,,,
"D00218
","Acetazolamide (JP18/USP/INN)
  ","Diamox (TN)
  ","Chronic simple (open-angle) glaucoma [DS:H00612]
  ",Antiglaucoma,Carbonic anhydrase inhibitor,,,,,,
"D00219
","Acetohexamide (JP18/USP/INN)
  ","Dymelor (TN)
  ","
",Antidiabetic,Hypoglycemic,Sulfonylurea receptor agonist,,,,,
"D00220
","Acetohydroxamic acid (USP/INN)
  ","Lithostat (TN)
  ","Chronic urea-splitting urinary infection [DS:H01176]
  ",Antibacterial (adjunct),Urease inhibitor,,,,,,
"D00221
","Acetylcysteine (JP18/USP/INN)
  ","Mucomyst (TN)
  ","Chronic emphysema [DS:H01714]
Cystic fibrosis [DS:H00218]
  ",Antidote (acetaminophen),Mucolytic,Expectorant,,,,,
"D00222
","Acyclovir (USP)
Aciclovir (JP18/INN)
  ","Sitavig (TN)
Zovirax (TN)
  ","Herpes simplex virus infection [DS:H00365]
Herpes zoster infection [DS:H00366]
Chickenpox [DS:H00366]
  ",Antiviral,DNA polymerase inhibitor,,,,,,
"D00223
","Lincomycin (USAN/INN)
LCM
  ","
","
",Antibacterial,Protein biosynthesis inhibitor,,,,,,
"D00224
","Allopurinol (JP18/USP/INN)
  ","Zyloprim (TN)
  ","Primary or secondary gout [DS:H01532]
  ",Gout suppressant,Uric acid biosynthesis inhibitor,Xanthine oxidase inhibitor,,,,,
"D00225
","Alprazolam (JP18/USP/INN)
  ","Xanax (TN)
  ","Generalized anxiety disorder [DS:H01662]
Panic disorder [DS:H01664]
  ",Antianxiety,Minor tranquilizer,Sedative-hypnotic,,,,,
"D00226
","Amifostine (USP)
Amifostine hydrate
  ","Ethyol (TN)
  ","
",Radioprotector (topical),,,,,,,
"D00227
","Aminophylline (USP/INN)
  ","Somophyllin (TN)
Theophylline ethylenediamine (TN)
  ","
",Bronchodilator,Cardiotonic,Phosphodiesterase inhibitor,,,,,
"D00228
","Amoxapine (JP18/USP/INN)
  ","Asendin (TN)
  ","Depression [DS:H01646]
  ",Antidepressant,Serotonin-noradrenaline reuptake inhibitor (SNRI),,,,,,
"D00229
","Amoxicillin (USP)
Amoxicillin hydrate (JP18)
Amoxicilline (INN)
Amoxicillin trihydrate
  ","Amoxil (TN)
Dispermox (TN)
Pasetocin (TN)
  ","Gonorrhea [DS:H00315]
Helicobacter pylori infection [DS:H00320]
  ",Antibacterial,Cell wall biosynthesis inhibitor,,,,,,
"D00230
","Amoxicillin and potassium clavulanate
Amoxicillin and clavulanate potassium
  ","
","
",Antibacterial,,,,,,,
"D00231
","Inamrinone (USP)
Amrinone (JAN/INN)
  ","Amcoral (TN)
  ","
",Cardiotonic,Phosphodiesterase 3 inhibitor,,,,,,
"D00232
","Anisotropine methylbromide (USAN)
Octatropine methylbromide (INN)
Methyloctatropine bromide (JAN)
  ","Valpin (TN)
Valpin 50 (TN)
  ","
",Antispasmodic,Muscarinic acetylcholine receptor antagonist,,,,,,
"D00233
","Anthralin (USP)
Dithranol (INN)
  ","Anthraderm (TN)
  ","Plaque psoriasis [DS:H01656]
  ",Antipsoriatic,,,,,,,
"D00234
","Astemizole (JAN/USP/INN)
  ","Hismanal (TN)
  ","
",Antiallergic,H1 receptor antagonist,,,,,,
"D00235
","Atenolol (JP18/USP/INN)
  ","Tenormin (TN)
  ","Hypertension [DS:H01633]
Angina pectoris due to coronary atherosclerosis [DS:H01632]
Acute Myocardial Infarction [DS:H01730]
  ",Antiarrhythmic,Antihypertensive,Vasodilator,beta1-Adrenergic receptor antagonist,,,,
"D00236
","Atovaquone (JAN/USP/INN)
  ","Mepron (TN)
  ","Pneumocystis jiroveci pneumonia [DS:H01521]
  ",Antifungal (pneumocystic),,,,,,,
"D00237
","Auranofin (JP18/USAN/INN)
  ","Ridaura (TN)
  ","Rheumatoid arthritis [DS:H00630]
  ",Antirheumatic,,,,,,,
"D00238
","Azathioprine (JP18/USP/INN)
  ","Azasan (TN)
Imuran (TN)
Jayempi (TN)
  ","Prevention of rejection in renal homotransplantation [DS:H00083]
Rheumatoid arthritis [DS:H00630]
  ",Immunosuppressant,Nucleic acid biosynthesis inhibitor,,,,,,
"D00240
","Aztreonam (JP18/USP/INN)
  ","Azactam (TN)
  ","Urinary tract infections [DS:H01176]
  ",Antibacterial,Cell wall biosynthesis inhibitor,,,,,,
"D00241
","Baclofen (JP18/USP/INN)
  ","Kemstro (TN)
Lioresal (TN)
  ","Multiple sclerosis [DS:H01490]
  ",Antispasmodic,Muscle relaxant,GABA-B receptor agonist,,,,,
"D00242
","Benzonatate (USP/INN)
  ","Tessalon perles (TN)
  ","
",Antitussive,,,,,,,
"D00243
","Benzquinamide (USAN)
  ","
","
",Anti-emetic,,,,,,,
"D00244
","Betamethasone (JP18/USP/INN)
  ","Celestone (TN)
Rinderon (TN)
  ","
",Anti-inflammatory,Antirheumatic,Glucocorticoid receptor agonist,,,,,
"D00245
","Bisacodyl (JP18/USP/INN)
  ","Dulcolax (TN)
  ","
",Laxative (suppository),,,,,,,
"D00246
","Budesonide (JP18/USP/INN)
  ","Entocort EC (TN)
Pulmicort (TN)
Rhinocort (TN)
Uceris (TN)
  ","Asthma [DS:H00079]
Crohn's disease [DS:H00286]
Perennial allergic rhinitis [DS:H01360]
Distal ulcerative colitis [DS:H01466]
  ",Antiasthmatic,Anti-inflammatory,Glucocorticoid receptor agonist,,,,,
"D00247
","Bumetanide (JP18/USP/INN)
  ","Bumex (TN)
  ","Nephrotic syndrome [DS:H01657]
  ",Diuretic,Na-K-Cl cotransporter inhibitor,,,,,,
"D00248
","Busulfan (JP18/USP/INN)
  ","Myleran (TN)
  ","Chronic myelogenous (myeloid, myelocytic, granulocytic) leukemia [DS:H00004]
  ",Antineoplastic,Alkylating agent,Immunosuppressant,,,,,
"D00249
","Calcitonin salmon (JP18/USP/INN)
Salmon calcitonin
  ","Calcimar (TN)
Fortical (TN)
Miacalcin (TN)
  ","Paget's disease of bone [DS:H00437]
Postmenopausal osteoporosis [DS:H01593]
  ",Antiresorptive,Regulator (calcium),,,,,,
"D00250
","Capsaicin (JAN/USP)
  ","Zostrix (TN)
  ","
",Analgesic (topical),Transient receptor potential (TRP) channel agonist,,,,,,
"D00251
","Captopril (JP18/USP/INN)
  ","Apopril (TN)
Capoten (TN)
  ","Hypertension [DS:H01633]
Diabetic Nephropathy [DS:H01456]
  ",Antihypertensive,Angiotensin-converting enzyme inhibitor,,,,,,
"D00252
","Carbamazepine (JP18/USP/INN)
  ","Equetro (TN)
Tegretol (TN)
  ","Trigeminal neuralgia [DS:H01638]
  ",Analgesic,Antiepileptic,,,,,,
"D00253
","Carbidopa hydrate and levodopa
  ","Parcopa (TN)
Sinemet (TN)
  ","Parkinson disease [DS:H00057]
Parkinsonism [DS:H01600]
  ",Antiparkinsonian,,,,,,,
"D00254
","Carmustine (JAN/USP/INN)
  ","Bicnu (TN)
Gliadel (TN)
  ","Glioma [DS:H00042]
Glioblastoma [DS:H00042]
Medulloblastoma [DS:H01667]
Astrocytoma [DS:H00042]
Ependymoma [DS:H00042]
Multiple myeloma [DS:H00010]
Hodgkin's lymphoma [DS:H00007]
Non-Hodgkin's lymphomas [DS:H02418]
  ",Antineoplastic,Alkylating agent,,,,,,
"D00255
","Carvedilol (JP18/USP/INN)
  ","Artist (TN)
Coreg (TN)
  ","Hypertension [DS:H01633]
  ",Antihypertensive,alpha1/beta-Adrenergic receptor antagonist,,,,,,
"D00256
","Cefaclor (JP18)
Cefaclor anhydrous
  ","Alenfral (TN)
  ","
",Antibacterial,Cell wall biosynthesis inhibitor,,,,,,
"D00257
","Cefadroxil (JP18)
  ","Sumacef (TN)
  ","
",Antibacterial,Cell wall biosynthesis inhibitor,,,,,,
"D00258
","Cefixime (INN)
  ","
","
",Antibacterial,Cell wall biosynthesis inhibitor,,,,,,
"D00259
","Ceforanide (USP/INN)
  ","Precef (TN)
  ","
",Antibacterial,Cell wall biosynthesis inhibitor,,,,,,
"D00260
","Cefotetan (JP18/USP/INN)
  ","
","
",Antibacterial,Cell wall biosynthesis inhibitor,,,,,,
"D00261
","Cefprozil (USP)
Cefprozil monohydrate
  ","Cefzil (TN)
  ","
",Antibacterial,Cell wall biosynthesis inhibitor,,,,,,
"D00262
","Cefuroxime (USAN/INN)
  ","Cefuroxime (TN)
  ","
",Antibacterial,Cell wall biosynthesis inhibitor,,,,,,
"D00263
","Cefalexin (JP18)
Cephalexin
  ","Keflex (TN)
  ","
",Antibacterial,Cell wall biosynthesis inhibitor,,,,,,
"D00264
","Cephradine (USP)
Cefradine (JAN/INN)
(abbr) RAD
  ","Anspor (TN)
Velosef (TN)
  ","
",Antibacterial,Cell wall biosynthesis inhibitor,,,,,,
"D00265
","Chloral hydrate (JP18/USP)
  ","Noctec (TN)
  ","
",Antianxiety,Sedative-hypnotic,,,,,,
"D00266
","Chlorambucil (JAN/USP/INN)
  ","Leukeran (TN)
  ","Chronic lymphatic (lymphocytic) leukemia [DS:H00005]
Giant follicular lymphoma [DS:H01613]
Hodgkin's disease [DS:H00007]
  ",Antineoplastic,Alkylating agent,,,,,,
"D00267
","Chlordiazepoxide (JP18/USP/INN)
  ","Libritabs (TN)
  ","
",Antianxiety,Minor tranquilizer,Sedative-hypnotic,,,,,
"D00268
","Chlormezanone (JAN/INN)
  ","Trancopal (TN)
  ","
",Muscle relaxant,,,,,,,
"D00269
","Chlorotrianisene (INN)
  ","TACE (TN)
  ","
",Menstruation disorder agent,,,,,,,
"D00270
","Chlorpromazine (USP/INN)
  ","Thorazine (TN)
  ","
",Antipsychotic,Anti-emetic,,,,,,
"D00271
","Chlorpropamide (JP18/USP/INN)
  ","Diabinese (TN)
  ","Type 2 diabetes mellitus [DS:H00409]
  ",Antidiabetic,Hypoglycemic,Sulfonylurea receptor agonist,,,,,
"D00272
","Chlorthalidone (USP)
Chlortalidone (JAN/INN)
  ","Hygroton (TN)
Thalitone (TN)
  ","Hypertension [DS:H01633]
Nephrotic syndrome [DS:H01657]
  ",Antihypertensive,Diuretic,Na+-Cl- symport inhibitor,,,,,
"D00273
","Cidofovir (USAN/INN)
Cidofovir dihydrate
  ","Vistide (TN)
  ","Cytomegalovirus retinitis [DS:H00368]
  ",Antiviral,DNA polymerase inhibitor,,,,,,
"D00274
","Cisapride (USP/INN)
  ","
","
",Prokinetic,Serotonin receptor agonist,,,,,,
"D00275
","Cisplatin (JP18/USP/INN)
  ","Platinol (TN)
  ","Testicular tumors [DS:H00023]
Ovarian tumors [DS:H00027]
Bladder cancer [DS:H00022]
  ",Antineoplastic,Cell growth inhibitor,,,,,,
"D00276
","Clarithromycin (JP18/USP/INN)
  ","Biaxin (TN)
  ","Pharyngitis/tonsillitis [DS:H01424]
Helicobacter pylori infection [DS:H00320]
  ",Antibacterial,Protein biosynthesis inhibitor,,,,,,
"D00277
","Clindamycin (USAN/INN)
  ","Cleocin (TN)
  ","
",Antibacterial,Protein biosynthesis inhibitor,,,,,,
"D00278
","Clofazimine (JAN/USP/INN)
(abbr) CLO
  ","Lamprene (TN)
  ","
",Antibacterial (leprostatic),,,,,,,
"D00279
","Clofibrate (JP18/USP/INN)
  ","Atromid-S (TN)
  ","
",Antihyperlipidemic,Triglyceride synthesis inhibitor,Peroxisome proliferator-activated receptor (PPAR) alpha agonist,,,,,
"D00280
","Clonazepam (JP18/USP/INN)
  ","Klonopin (TN)
  ","Lennox-Gastaut syndrome [DS:H01813]
Panic disorder [DS:H01664]
  ",Anticonvulsant,Antiepileptic,,,,,,
"D00281
","Clonidine (JAN/USP/INN)
  ","Catarpres-TTS (TN)
  ","
",Antihypertensive,alpha2-Adrenergic receptor agonist,,,,,,
"D00282
","Clotrimazole (JP18/USP/INN)
(abbr) CLT
  ","Lotrimin (TN)
Mycelex (TN)
  ","Candidiasis [DS:H00363]
  ",Antifungal,Ergosterol biosynthesis inhibitor,,,,,,
"D00283
","Clozapine (JAN/USP/INN)
  ","Clozaril (TN)
  ","Treatment-resistant schizophrenia [DS:H01649]
  ",Antipsychotic,,,,,,,
"D00284
","Cosyntropin (USP)
Tetracosactide (INN)
  ","Cortrosyn (TN)
  ","
",Diagnostic (adrenocortical function),Melanocortin 2 receptor agonist,,,,,,
"D00285
","Co-Trimoxazole (BAN)
Sulfamethoxazole and trimethoprim
(abbr) SXT
  ","Bactrim (TN)
Septra (TN)
  ","Shigellosis [DS:H00299]
Pneumocystis jiroveci pneumonia [DS:H01521]
  ",Antibacterial,,,,,,,
"D00286
","Cyclandelate (JAN/USP/INN)
  ","Cyclospasmol (TN)
  ","
",Vasodilator,,,,,,,
"D00287
","Cyclophosphamide (USP)
Cyclophosphamide hydrate (JP18)
  ","Cytoxan (TN)
Neosar (TN)
  ","Hodgkin's disease [DS:H00007]
Burkitt lymphoma [DS:H00008]
Multiple myeloma [DS:H00010]
Chronic lymphocytic leukemia [DS:H00005]
Acute myelogenous leukemia [DS:H00003]
Acute lymphoblastic (stem-cell) leukemia [DS:H00001 H00002]
Mycosis fungoides [DS:H01463]
Neuroblastoma [DS:H00043]
Adenocarcinoma of the ovary [DS:H00027]
Retinoblastoma [DS:H01513]
Carcinoma of the breast [DS:H00031]
Nephrotic syndrome [DS:H01657]
  ",Antineoplastic,Alkylating agent,Immunosuppressant,,,,,
"D00288
","Dacarbazine (JAN/USP/INN)
  ","DTIC-Dome (TN)
  ","Malignant melanoma [DS:H00038]
Hodgkin's disease [DS:H00007]
  ",Antineoplastic,Alkylating agent,,,,,,
"D00289
","Danazol (JP18/USP/INN)
  ","Danocrine (TN)
  ","Endometriosis [DS:H01639]
Hereditary angioedema [DS:H01006]
  ",Anti-endometriosis,Anterior pituitary suppressant,,,,,,
"D00290
","Demeclocycline hydrochloride (USP)
Demethylchlortetracycline hydrochloride (JP18)
  ","Declomycin (TN)
  ","Rocky Mountain spotted fever [DS:H00323]
Typhus fever [DS:H00322]
Q fever [DS:H00310]
Lymphogranuloma venereum [DS:H00348]
Psittacosis [DS:H00350]
Trachoma [DS:H00349]
Relapsing fever [DS:H00427]
Chancroid [DS:H00305]
Plague [DS:H00297]
Tularemia [DS:H00312]
Cholera [DS:H00110]
Campylobacter fetus infections [DS:H00321]
Brucellosis [DS:H00325]
Bartonellosis [DS:H00326]
Granuloma inguinale [DS:H01415]
Syphilis [DS:H00354]
Yaws [DS:H01318]
Listeriosis [DS:H00332]
Anthrax [DS:H00328]
Vincent's infection [DS:H01440]
Actinomycosis [DS:H01325]
  ",Antibacterial,Protein biosynthesis inhibitor,,,,,,
"D00291
","Desmopressin (INN)
  ","
","
",Antidiuretic,Arginine vasopressin receptor agonist,,,,,,
"D00292
","Dexamethasone (JP18/USP/INN)
  ","Decadron (TN)
Maxidex (TN)
  ","Diabetic macular edema [DS:H01651]
Asthma [DS:H00079]
Atopic dermatitis [DS:H01358]
Contact dermatitis [DS:H01357]
Allergic rhinitis [DS:H01360]
Bullous dermatitis herpetiformis [DS:H01362]
Mycosis fungoides [DS:H01463]
Pemphigus [DS:H01648]
Erythema multiforme [DS:H01695]
Stevens-Johnson syndrome [DS:H01694]
Congenital adrenal hyperplasia [DS:H00216]
Ulcerative colitis [DS:H01466]
Acquired (autoimmune) hemolytic anemia [DS:H01585]
Congenital (erythroid) hypoplastic anemia; Diamond-Blackfan anemia [DS:H00237]
Pure red cell aplasia [DS:H01586]
Multiple sclerosis [DS:H01490]
Temporal arteritis [DS:H01698]
Nephrotic syndrome [DS:H01657]
Pulmonary tuberculosis [DS:H00342]
Acute gouty arthritis [DS:H01532]
Ankylosing spondylitis [DS:H01674]
Psoriatic arthritis [DS:H01507]
Rheumatoid arthritis [DS:H00630]
Juvenile rheumatoid arthritis [DS:H01672]
Dermatomyositis and polymyositis [DS:H01604]
Systemic lupus erythematosus [DS:H00080]
  ",Anti-inflammatory,Antipruritic,Glucocorticoid receptor agonist,,,,,
"D00293
","Diazepam (JP18/USP/INN)
  ","Diastat (TN)
Valium (TN)
  ","Anxiety disorders [DS:H01662]
  ",Antianxiety,Minor tranquilizer,Sedative-hypnotic,,,,,
"D00294
","Diazoxide (JAN/USP/INN)
  ","Hyperstat (TN)
Proglycem (TN)
  ","Hypoglycemia due to hyperinsulinism [DS:H01267]
  ",Antihypoglycemia,Antihypertensive,ATP-sensitive potassium channel opener,,,,,
"D00295
","Cimetidine (JP18/USP/INN)
  ","Tagamet (TN)
  ","Duodenal ulcer [DS:H01634]
Gastric ulcer [DS:H01634]
Gastroesophageal reflux disease [DS:H01602]
Zollinger-Ellison syndrome [DS:H01522]
  ",Anti-ulcerative,H2 receptor antagonist,,,,,,
"D00296
","Didanosine (JAN/USP/INN)
(abbr) ddI
  ","Videx (TN)
  ","HIV-1 infection [DS:H01563]
  ",Antiviral,Reverse transcriptase inhibitor,,,,,,
"D00297
","Digitoxin (JAN/USP/INN)
  ","Crystodigin (TN)
  ","
",Cardiotonic,,,,,,,
"D00298
","Digoxin (JP18/USP)
  ","Lanoxicaps (TN)
Lanoxin (TN)
  ","
",Cardiotonic,,,,,,,
"D00299
","Dihydrotachysterol (JAN/USP/INN)
  ","Hytakerol (TN)
  ","
",Antihypoparathyroidism,Vitamin D receptor agonist,,,,,,
